name,score
miro,100
test25,90
sdfdf,80
pero,78
test,75
aaaa,55
sdf,50
dddd,30
ffff,30
bbb,30
test,20
ivana,20
test,20
test,20
bonus2,20
Ivana,20
blabla,20
Blaaa,20
lh2,20
radi?,20
lh5,20
afaffa,20
Sanja,20
neradi,20
brzina,20
ivana,20
radi:),20
ivana,20
Ivana,20
franjo1,20
lh1,20
bla,20
lhopet3,20
blatest,20
ivana,20
IvanaNazad,20
lh5,20
lh1,20
gim,20
zastoneradisort,20
test2,20
ivanalh,20
Huhu,20
bbbb,20
ivanalh,20
Ivana,20
lh,20
bonus1,15
bonus3,15
lh1,10
bla,10
ivana,10
dddd,10
Ivana,10
ddddd,10
lh2,10
lh1,10
lh2,10
bla,10
Zzz,10
lh1,10
dfdsf,10
lh1,10
bbb,10
ddd,10
audio1,10
ffff,10
blanazad,10
radi!,10
bla,10
lhnovo,10
lhopet4,10
lh1,10
lh1,10
gim,10
lh1,10
test1,10
opet2,10
test,10
lh,10
gim,10
bla,10
lh1,10
brzina,10
lh1,10
bonustoc,5
bonus2,5
ana,2
konacno,0
afaffa,0
test3,0
bonus2,0
lh1,0
ivanalh,0
lh1,0
lh1,0
lh3,0
fff,0
lh1,0
sadas,0
guadalupe,0
test2,0
asčldkasčld,0
ssff,0
bbbbb,0
dddd,0
lh5,0
ddd,0
lhnovo,0
konacno,0
lh1,0
ivana,0
fafafa,0
bbb,0
ivananazad,0
testcek,0
bonus3,0
lh1,0
lh1,0
Ivana,0
kfkfkfkfk,0
lhnovo,0
ivanalh,0
lhopet4,0
ivanalh,0
lh5,0
testcek,0
testcek,0
lh1,0
aaaa2,0
trrrt,0
lh1,0
brzina,0
lh1,0
lh1,0
lh1,0
ivanalh,0
testcek,0
ddd,0
lh1,0
ffff,0
test23,0
lh1,0
ggg,0
opet2,0
ivana,0
testcek,0
aaaa,0
lh1,0
skldfj,0
lhopet,0
pokusaj,0
bla,0
lh1,0
lh2,0
lh1,0
Ivana,0
ddd,0
testcek,0
lh1,0
lh4,0
ivanalh,0
lh1,0
ddd,0
lh1,0
testcek,0
lh1,0
fjfjfj,0
lh1,0
afaffa,0
videotest,0
