Koliko ima planeta u Sunčevom sustavu?	8	7	9	10
Koji je glavni grad Hrvatske?	Zagreb	Sarajevo	Ljubljana	Podgorica
Za koliko će se smanjiti broj 52 ako mu znamenke zamijene mjesta?	za 27	za 37	za 26	za 25
Što je rješenje jednadžbe x : 3 = 9 ?	27	9	3	12
Koliko dvoznamenkastih brojeva možeš načiniti od znamenkaka 2, 4 i 6?	9	6	3	10
Koliko se puta znamenka 1 pojavljuje u prvih 100 prirodnih brojeva?	21	22	15	20
Koji broj nije djeljiv s 9?	2584	9414	6588	4284
Koji broj nije djelitelj broja 28?	17	14	4	7
Koji je broj djeljiv i s 3 i s 10?	6570	4583	5685	3850
Odredi par relativno prostih brojeva!	15 i 16	12 i 15	15 i 20	12 i 20
Koji broj nije djeljiv s 4?	14	20	16	12
Koliko višekratnika manjih od 100 ima broj 20?	4	5	6	3
Što je broj 12 brojevima 3 i 4?	najmanji zajednički višekratnik	najmanji zajednički djelitelj	najveći zajednički višekratnik	najveći zajednički djelitelj
Koliki je sedmerokratnik broja 12?	84	74	78	82
Koji je količnik prirodni broj?	42:7	45:8	57:6	53:9
Koliko iznosi jedna devetina od 63 tone?	7 t	9 t	8 t	6 t
Koji je razlomak najmanji?	1/6	4/6	6/6	9/6
U kojem kvadrantu je funkcija kosinus negativna?	II. i III.	II. i IV.	III. i IV.	samo u IV.
Ako čokolada ima dvanaest kockica, svaka kockica je njena:	dvanaestina	polovina	dvadesetina	drugina
Što u razlomku određuje brojnik?	koliko se dijelova cjeline nalazi u razlomku	broj polovina u jednom cijelom	na koliko dijelova dijelimo neku cjelinu	s kojim brojem skraćujemo razlomak
Ako trećinu kruha prepolovimo, dobijemo:	šestinu	petinu	devetinu	polovinu
Ako i brojnik i nazivnik podijelimo s istim brojem, govorimo o:	skraćivanju razlomaka	dijeljenju razlomaka	množenju razlomaka	proširivanju razlomaka
Koliko je 75% od 10?	7.5	10	75	8
Koliko je 75% od 20?	15	12	18	17.5
Cijena majice od 80 kuna snižena je 30%. Kolika je nova cijena?	56	50	64	60
Koliko je 30% od 110?	33	11	30	3
Kako se zove dio kružnice omeđen njenim dvjema točkama?	kružni luk	kružni odsječak	tetiva	promjer
Kako se zove zajednička točka kružnice i njene tangente?	diralište	središte	tetiva	sjecište
Što nemaju koncentrične kružnice?	zajedničke točke	različite promjere	zajedničko središte	različite polumjere
Izaberi istinitu tvrdnju:	Kružnica je dio kruga.	Krug je dio kružnice.	Polumjer je veći od promjera.	 Kružnici možemo izmjeriti površinu.
Kako zovemo dužinu koja spaja središte i bilo koju točku kružnice?	polumjer	duljina	udaljenost	promjer
Kako se zove dio ravnine između dviju koncentričnih kružnica?	kružni vijenac	kružni odsječak	kružni luk	kružni isječak
Kakav je korijen negativnog broja?	Ništa od navedenog	Nekad pozitivan, nekad negativan	Uvijek negativan	Uvijek pozitivan
Koji postupak koristimo u racionalizaciji nazivnika?	proširivanje razlomka	skraćivanje razlomka	dijeljenje razlomka	množenje razlomka
Odredi dvije suprotne računske operacije:	kvadriranje i potenciranje	kvadriranje i zbrajanje	kvadriranje i množenje	kvadriranje i korjenovanje
0,1,1,2,3,5,8,13,21 je prvih 9 članova kojeg niza?	Fibonaccijevog niza	Harmonijski niza	Catalanovi brojevi	Magični brojevi
Aritmetička sredina prvih 50 prirodnih brojeva jest:	25.5	25.3	25	12.25
Odaberi brojeve koji su u uzlaznom poretku:	7,12,21,29,36	36,29,21,12,7	36,29,7,21,12	ništa od navedenog
Suma najmanjeg troznamenkastog i najvećeg dvoznamenkastog broja iznosi?	199	101	111	100
Broj je djeljiv s 5 ako mu je na mjestu jedinica...	0 ili 5	2 ili 0	10 ili 0	ništa od navedenog
Koji je najveći dvoznamenkasti prosti broj?	97	99	98	96
Koliko strana ima kocka?	ništa od navedenog	3	4	5
Pravi kut je kut	od 90°	manji od 90°	veći od 90°	180°
Apsolutna vrijednost od -20 je:	20	0	-20	30
Koliko je a^0?	1	0	-1	a
Koliko godina ima desetljeće?	10	15	20	100
Koliko je 15 na kvadrat?	225	252	30	15
Koliko mjeseci ima 30 dana?	4	3	2	11
Odaberi niz gdje su svi brojevi neparni.	1, 3, 5, 7, 9	2, 3, 7, 9, 11	1, 2, 5, 7, 9	3, 6, 8, 11
Pojednostavni 0 x 10^2:	ništa od navedenog	10	10.2	102
Koliki je x u x - 3 = 5?	8	-5	-8	-9
