Koliko je 2+2?	4	5	3	6
Koliko je 8*7?	56	48	64	49
Koliko je 2*2*3?	12	10	16	6
Koliko je 18-9+2?	11	10	12	9
Koliko je 14 - ( 8 + 5 ) ?	1	3	10	6
"S koliko nula zapisujemo broj ""sto milijuna""?"	osam	devet	sedam	deset
Koji je broj najveći?	12875	12758	9999	8751
"Koliko nula ima broj ""sto tisuća sto jedan""?"	3	4	2	1
Odredi najveći parni četveroznamenkasti broj manji od 2010.	2008	2090	2009	9999
Od navedenih brojeva najmanji je broj?	999	11111	2222	1000
Što je rješenje jednadžbe 17 + x = 17?	0	1	17	34
Koji broj podijeljen s 6 daje rezultat 4 i ostatak 5?	29	19	14	26
U računu 5 + 4 = 9, broj 9 zovemo...?	zbroj	faktor	pribrojnik	razlika
Koji broj nije prost?	9	7	13	11
Koji broj nije djeljiv s 10?	15	20	10	30
Koji broj nije djeljiv s 10?	505	5050	550	50
Koji je broj najveći djelitelj broja 30?	30	60	15	nema ga
2 • 3 • 5 je rastav na proste faktore broja:	30	25	35	20
Koliko mjeseci ima četvrtina godine?	3 mj.	5 mj.	2 mj.	4 mj.
Čemu je jednak razlomak 6/3 ?	2	3	1	6
Koja se točka nalazi u I. kvadrantu?	A (2, 8)	B (-5, 9)	C (4, -3)	D (-1, -7)
Koliko zajedničkih točaka imaju kružnice koje se dodiruju?	1	0	2	3
Koliko je -x^2, ako je x = 3?	-9	9	6	-6
Kakav je broj 3^222?	neparan	paran	negativan	prost
Koliko je 1004 podijeljeno s 2?	502	52	520	5002
19 + x = 42?	x=23	x=61	x=0	x=42
Koji je broj najveći od navedenih?	99	90	11	10
Koliko je devedeset minus devetnaest?	71	109	89	ništa od navedenog
Koji je broj najmanji od navedenih?	100	101	111	999	
Koliko je 1000x1?	1000	1	0	ništa od navedenog
Koliko je 111+222+333?	666	700	10	100
Koliko je 50 puta 5?	ništa od navedenog	505	500	2500
Koliko znamenaka ima broj 1000?	4	3	1	2
1 lipa = ... kuna	0.01	10	100	0.1
Broj pomnožen s nula daje rezultat...	0	1	taj isti broj	ništa od navedenog
Koliko je 999 x 100.0?	99900	999	9990	199
6 – (5 – 3) + 10 = ....	14	17	21	27
Ako je sutra nedjelja, što je bilo jučer?	petak	subota	utorak	četvrtak
Broj koji nije ni prost ni složen je?	1	3	2	5
