Koja je ovo životinja?	Krava	Konj	Pas	Mačka
Iz kojeg crtića je ova pjesma?	Pokemon	Digimon	Mjesečeva ratnica	Shaman King
Koja je ovo skladba?	Oda radosti	Četiri godišnja doba	Mala noćna muzika	Mjesečeva sonata
Ovo je himna koje države?	Francuska	Njemačka	Hrvatska	Kosovo
Iz koje TV serije je ova pjesma?	Ally McBeal	Prijatelji	Zabranjena ljubav	Puna kuća
Iz kojeg crtića je ova pjesma?	Batman	Superman	Iron man	Spider-man
Iz kojeg crtića je ova pjesma?	Krava i Pile	Dexterov laboratorij	Samurai Jack	Hello Kitty
Iz kojeg crtića je ova pjesma?	Dexterov Laboratorij	Yu-Gi-Oh!	Johnny Bravo	Svemoguća Kim
Iz kojeg crtića je ova pjesma?	Doktorica Pliško	Pustolovine braće Kratt	Ninja kornjače	Teletubbies
Iz kojeg crtića je ova pjesma?	Einsteinčići	Phineas i Ferb	Jan i pirati iz Nigdjezemske	Dora istražuje
Iz koje TV serije je ova pjesma?	Princ iz Bel-Aira	Puna kuća	Pod istim krovom	Bračne vode
Iz koje TV serije je ova pjesma?	Prijatelji	Seinfeld	Pod istim krovom	Puna kuća
Iz koje TV serije je ova pjesma?	Puna kuća	Pod istim krovom	Seinfeld	Prijatelji
Iz kojeg crtića je ova pjesma?	Futurama	Simpsoni	Doktorica Pliško	Ninja kornjače
Iz kojeg filma je ova pjesma?	Istjerivači duhova	Harry Potter	Rocky	Ratovi zvijezda
Iz kojeg filma je ova pjesma?	Harry Potter	Pakleni šund	Istjerivači duhova	Ratovi zvijezda
Iz kojeg crtića je ova pjesma?	Jan i pirati iz Nigdjezemske	Dexterov Laboratorij	Pustolovine braće Kratt	Svemoguća Kim
Iz kojeg crtića je ova pjesma?	Johnny Bravo	Krava i Pile	Hello Kitty	Superman
Iz kojeg crtića je ova pjesma?	Looney Toons	Simpsoni	Dora istražuje	Phineas i Ferb
Iz koje TV serije je ova pjesma?	Bračne vode	Puna kuća	Seinfeld	Prijatelji
Iz kojeg filma je ova pjesma?	Pakleni šund	Ratovi zvijezda	Harry Potter	Rocky
Iz kojeg filma je ova pjesma?	Rocky	Harry Potter	Pakleni šund	Istjerivači duhova
Iz kojeg crtića je ova pjesma?	Simpsoni	Futurama	Hello Kitty	Ninja kornjače
Iz kojeg crtića je ova pjesma?	Sofia Prva	Hello Kitty	Doktorica Pliško	Spužvabob Skockani
Iz kojeg crtića je ova pjesma?	Spužvabob Skockani	Sofia Prva	Jan i pirati iz Nigdjezemske	Phineas i Ferb
Iz kojeg filma je ova pjesma?	Ratovi zvijezda	Istjerivači duhova	Harry Potter	Rocky
Iz kojeg crtića je ova pjesma?	Ninja kornjače	Simpsoni	Johnny Bravo	Yu-Gi-Oh!
