Koja se životinja nalazi na slici?	klokan	žirafa	deva	lav
Koja se životinja nalazi na slici?	deva	žirafa	klokan	pingvin
Koja se životinja nalazi na slici?	jež	miš	štakor	deva
Koji grad se nalazi na fotografiji?	Pariz	Rim	Pisa	Zagreb
Koji grad se nalazi na fotografiji?	London	Beč	Budimpešta	Ljubljana
Kako se zove životinja sa slike?	koala	konj	medvjed	vrabac
Kako se zove životinja sa slike?	konj	magarac	pijetao	galeb
Kako se zove životinja sa slike?	mačka	pas	zamorac	zec
Kako se zove životinja sa slike?	miš	mačka	pas	hrčak
Kako se zove životinja sa slike?	pas	mačka	konj	lav
Kako se zove životinja sa slike?	slon	konj	mrav	deva
Kako se zove životinja sa slike?	zec	hrčak	mačka	pas
Koje geometrijsko tijelo se nalazi na slici?	kocka	piramida	kugla	stožac
Koje geometrijsko tijelo se nalazi na slici?	piramida	kocka	kugla	stožac
Kako se zove geometrijski lik sa slike?	kvadrat	kocka	kockica	kućica
Kako se zove geometrijski lik sa slike?	trokut	dvokut	četverokut	peterokut
Kako se zove geometrijski pribor sa slike?	šestar	petar	trokut	ravnalo
Koliko dijagonala ima mnogokut sa slike?	5	6	7	4
Koliko dijagonala ima mnogokut sa slike?	9	6	10	15
Kako se zove lik sa slike?	Pikachu	Raichu	Ash	Togepi
Kako se zove lik sa slike?	Bulbasaur	Pikachu	Ivysaur	Venusaur
Kako se zove lik sa slike?	Spužva Bob	Pikachu	Patrik	Slavko
